buysmaart_id,devicespec_id,url
420,model_5c063530,http://www.devicespecifications.com/en/model/5c063530
421,model_ff1e27e1,http://www.devicespecifications.com/en/model/ff1e27e1
422,model_530b3943,http://www.devicespecifications.com/en/model/530b3943
423,model_01803786,http://www.devicespecifications.com/en/model/01803786
424,model_f3fc3522,http://www.devicespecifications.com/en/model/f3fc3522
425,model_e4fd3312,http://www.devicespecifications.com/en/model/e4fd3312
426,model_0ba527e0,http://www.devicespecifications.com/en/model/0ba527e0
427,model_883627dd,http://www.devicespecifications.com/en/model/883627dd
428,model_90fa34ca,http://www.devicespecifications.com/en/model/90fa34ca
429,model_7c9435a4,http://www.devicespecifications.com/en/model/7c9435a4
430,model_a8e33087,http://www.devicespecifications.com/en/model/a8e33087
431,model_f54a2aaa,http://www.devicespecifications.com/en/model/f54a2aaa
432,model_12362a60,http://www.devicespecifications.com/en/model/12362a60
433,model_e2762c24,http://www.devicespecifications.com/en/model/e2762c24
434,model_97fd304c,http://www.devicespecifications.com/en/model/97fd304c
435,model_29aa2932,http://www.devicespecifications.com/en/model/29aa2932
436,model_930b35e4,http://www.devicespecifications.com/en/model/930b35e4
